time_step,episode_reward
94,-271.66947572679095
61,-149.40209839620138
51,-140.22356132587248
114,-1413.6814349129988
83,-730.6376660350281
144,-1017.0091665727838
87,-507.6201126244336
70,-846.5143524185243
62,-761.3866578689815
150,-1497.7739585681945
117,-1001.7286336476405
117,-1179.1713489174133
62,-585.3456510238198
177,-564.4304816550332
65,-557.9517953620255
91,-581.745717731688
81,-502.0957545654907
63,-356.6553694663043
107,-750.8642289961053
106,-299.0453539380153
228,-425.5860777260082
117,23.232666809966233
140,-208.01755780413447
175,-312.7144555818465
237,-216.92589845353058
166,-229.91909822517027
187,-212.6614672337506
105,-101.40076271682642
258,-402.12979546604777
140,-224.92514544215013
174,-33.61474256838625
157,-75.25145911689552
109,-123.78610180482058
67,-82.84058840340712
136,-116.39725332919352
134,-25.478697830392036
126,-128.3168663601673
196,-115.37007503087108
290,-165.73972266260978
156,-199.9299906123129
208,-120.18046713157761
223,-140.3745855458636
126,-96.56816657930912
176,-55.87841172207152
85,-188.05226475880139
156,-497.7972091271294
104,-98.5118349150365
163,-345.919250403413
166,-275.59427184330934
175,-354.84860105938543
198,-118.13475396320773
121,-36.780959350826016
207,29.529153264003355
117,-17.6998072468308
315,15.524819757526501
303,-3.961188038977795
181,10.527424468349267
158,-251.8439075768638
179,-299.9195832768871
81,-212.31787157887547
367,-19.57900918922985
474,194.63867217155536
910,-187.64580371694865
1000,-93.47862276566643
183,-177.9866441571929
368,-82.45976416782473
1000,-63.3376875897524
154,-173.69582196832206
356,-125.76925992222809
221,-219.2412231614308
95,-163.6789954641356
73,-159.74883588721013
340,-355.22031807954716
126,-238.80715992232382
398,-128.97721336251965
1000,-116.35955424490153
1000,-15.366000258493388
181,-205.7239042812442
159,-226.676122503466
1000,-103.64320894552307
522,-215.87525595377323
1000,-101.66032219374397
1000,-1.4273318360291336
1000,-5.4257988551667475
348,-3.3461844457687704
1000,-57.993640682557256
133,-388.61981061002615
120,-267.05818252211554
102,-260.66478655689855
99,-284.6982529239209
379,-156.86085935354347
104,-305.0041907083588
103,-283.4608978857593
135,-320.30503127597353
801,210.92114146055167
310,238.87236860671288
1000,-75.38278817504272
367,241.93361636211188
82,-70.62597385309368
74,-20.048618460063764
